['Chindia Targoviste - AFC Hermannstadt'],39%,2.45 3.05 3.8,2022-07-18T18:18:43.415660,2022-07-18T18:18:43.415660,0.0
['Chindia Targoviste - AFC Hermannstadt'],39%,3.25 3.05 2.85,2022-07-18T18:18:43.416660,2022-07-18T18:18:43.416660,0.0
['UTA Arad - Petrolul'],39%,3.15 3.15 4.75,2022-07-18T18:18:43.418657,2022-07-18T18:18:43.418657,0.0
['Chindia Targoviste - AFC Hermannstadt'],39%,3.4 3.3 2.97,2022-07-18T18:18:43.419657,2022-07-18T18:18:43.419657,0.0
['UTA Arad - Petrolul'],39%,2.6 3.1 3.5,2022-07-18T18:18:43.420755,2022-07-18T18:18:43.420755,0.0
['CFR Cluj - Inter Escaldes Tur'],39%,4.1 3.9 16.5,2022-07-18T18:18:43.421763,2022-07-18T18:18:43.421763,0.0
['Chindia Targoviste - AFC Hermannstadt'],39%,2.75 3.05 3.25,2022-07-18T18:18:43.422763,2022-07-18T18:18:43.422763,0.0
['Mioveni - Farul Constanta'],39%,3.4 3.0 3.35,2022-07-18T18:18:43.422763,2022-07-18T18:18:43.422763,0.0
['U Craiova 1948 - CFR Cluj'],39%,4.1 3.25 4.0,2022-07-18T18:18:43.423763,2022-07-18T18:18:43.423763,0.0
['U.Cluj - U.Craiova'],39%,4.0 3.3 3.95,2022-07-18T18:18:43.424763,2022-07-18T18:18:43.424763,0.0
['Rapid Bucuresti - FCSB'],39%,3.3 3.25 3.25,2022-07-18T18:18:43.425763,2022-07-18T18:18:43.425763,0.0
['Chindia Targoviste - AFC Hermannstadt'],39%,2.4 3.1 4.6,2022-07-18T18:18:43.426851,2022-07-18T18:18:43.426851,0.0
['U Craiova 1948 - CFR Cluj'],39%,3.9 3.25 6.0,2022-07-18T18:18:43.427847,2022-07-18T18:18:43.427847,0.0
['U.Cluj - U.Craiova'],39%,4.2 3.25 3.5,2022-07-18T18:18:43.428763,2022-07-18T18:18:43.428763,0.0
['Bot.Plovdiv - Apoel Nicosia Tur'],39%,3.5 3.45 3.6,2022-07-18T18:18:43.430763,2022-07-18T18:18:43.430763,0.0
['Bot.Plovdiv - Apoel Nicosia Tur'],39%,3.5 3.25 3.65,2022-07-18T18:18:43.431767,2022-07-18T18:18:43.431767,0.0
['Omonia Nicosia Hapoel Haifa FC'],39%,3.5 3.45 3.6,2022-07-18T18:18:43.432767,2022-07-18T18:18:43.432767,0.0
['Franta - Austria'],39%,6.75 4.8 7.5,2022-07-18T18:18:43.434766,2022-07-18T18:18:43.434766,0.0
['Franta - Austria'],39%,7.0 4.6 7.5,2022-07-18T18:18:43.435766,2022-07-18T18:18:43.435766,0.0
['Franta - Austria'],39%,7.0 4.85 6.75,2022-07-18T18:18:43.436763,2022-07-18T18:18:43.436763,0.0
"['A. Klagenfurt', 'Southampton']",39%,6.75 4.8 7.5,2022-07-18T18:18:43.438763,2022-07-18T18:18:43.438763,0.0
"['A. Klagenfurt', 'Southampton']",39%,7.0 4.6 7.5,2022-07-18T18:18:43.439768,2022-07-18T18:18:43.439768,0.0
"['Botosani', 'Chindia Targ.']",39%,2.8 2.9 4.0,2022-07-18T18:18:43.440769,2022-07-18T18:18:43.440769,0.0
"['Botosani', 'Chindia Targ.']",39%,2.7 2.95 4.0,2022-07-18T18:18:43.441767,2022-07-18T18:18:43.441767,0.0
"['Petrolul', 'Voluntari']",39%,2.6 3.15 3.9,2022-07-18T18:18:43.442767,2022-07-18T18:18:43.442767,0.0
"['Petrolul', 'Voluntari']",39%,2.6 3.1 3.5,2022-07-18T18:18:43.443767,2022-07-18T18:18:43.443767,0.0
['FC Petrolul Ploiesti FC Voluntari'],39%,2.37 3.15 3.9,2022-07-18T18:18:43.444768,2022-07-18T18:18:43.444768,0.0
['FC Botoşani Chindia Târgovişte'],39%,2.45 3.05 3.8,2022-07-18T18:18:43.445767,2022-07-18T18:18:43.445767,0.0
['Mioveni Farul Constanța'],39%,3.35 3.1 3.0,2022-07-18T18:18:43.446767,2022-07-18T18:18:43.446767,0.0
['U Craiova 1948 SA CFR Cluj'],39%,4.0 3.25 3.9,2022-07-18T18:18:43.447766,2022-07-18T18:18:43.447766,0.0
['U Craiova 1948 SA CFR Cluj'],39%,4.0 3.25 4.2,2022-07-18T18:18:43.448768,2022-07-18T18:18:43.448768,0.0
['Rapid Bucureşti FCSB'],39%,3.25 3.35 3.5,2022-07-18T18:18:43.449844,2022-07-18T18:18:43.449844,0.0
['Petrolul Ploieşti SC FC Voluntari SA'],39%,2.6 3.15 3.9,2022-07-18T18:18:43.450861,2022-07-18T18:18:43.450861,0.0
['Petrolul Ploieşti SC FC Voluntari SA'],39%,2.6 3.1 3.5,2022-07-18T18:18:43.451783,2022-07-18T18:18:43.451783,0.0
['SC FC Voluntari SA FC Botoşani'],39%,2.8 2.9 4.0,2022-07-18T18:18:43.452763,2022-07-18T18:18:43.452763,0.0
['AFC UTA Arad Petrolul Ploieşti'],39%,2.6 3.15 3.9,2022-07-18T18:18:43.454776,2022-07-18T18:18:43.454776,0.0
['SC FC Voluntari SA FC Botoşani'],39%,2.7 2.95 4.0,2022-07-18T18:18:43.455766,2022-07-18T18:18:43.455766,0.0
['FC Petrolul Ploiesti FC Voluntari'],39%,2.8 2.9 4.0,2022-07-18T18:18:43.456767,2022-07-18T18:18:43.456767,0.0
['SC FC Voluntari SA FC Botoşani'],39%,2.8 3.0 4.0,2022-07-18T18:18:43.457767,2022-07-18T18:18:43.457767,0.0
['SC FC Voluntari SA FC Botoşani'],39%,2.75 2.95 4.0,2022-07-18T18:18:43.458766,2022-07-18T18:18:43.458766,0.0
['AFC UTA Arad Petrolul Ploieşti'],39%,2.37 3.15 3.9,2022-07-18T18:18:43.459768,2022-07-18T18:18:43.459768,0.0
